,Residency,age_range,"Vaccine-Yes, by Country+Age","Vaccine-No, by Country+Age","Recommend-Yes, by Country+Age","Recommend-No, by Country+Age"
0,AU,18-24,0.099,0.018,0.099,0.018
1,AU,25-34,0.151,0.027,0.155,0.022
2,AU,35-44,0.149,0.039,0.163,0.025
3,AU,45-54,0.130,0.046,0.149,0.027
4,AU,55-64,0.131,0.024,0.146,0.009
5,AU,65+,0.169,0.018,0.175,0.012
6,CN,18-24,0.097,0.014,0.096,0.016
7,CN,25-34,0.189,0.024,0.192,0.021
8,CN,35-44,0.146,0.034,0.153,0.027
9,CN,45-54,0.181,0.042,0.186,0.036
10,CN,55-64,0.140,0.020,0.140,0.020
11,CN,65+,0.105,0.007,0.106,0.006
12,DE,18-24,0.079,0.026,0.095,0.010
13,DE,25-34,0.119,0.052,0.138,0.033
14,DE,35-44,0.132,0.038,0.151,0.019
15,DE,45-54,0.162,0.033,0.173,0.022
16,DE,55-64,0.178,0.026,0.191,0.013
17,DE,65+,0.138,0.016,0.144,0.010
18,ES,18-24,0.078,0.014,0.079,0.014
19,ES,25-34,0.123,0.030,0.131,0.022
20,ES,35-44,0.168,0.045,0.180,0.033
21,ES,45-54,0.168,0.050,0.183,0.035
22,ES,55-64,0.153,0.025,0.160,0.018
23,ES,65+,0.127,0.018,0.128,0.017
24,IT,18-24,0.092,0.005,0.089,0.008
25,IT,25-34,0.135,0.032,0.144,0.024
26,IT,35-44,0.161,0.037,0.171,0.027
27,IT,45-54,0.197,0.034,0.203,0.027
28,IT,55-64,0.132,0.029,0.139,0.023
29,IT,65+,0.135,0.010,0.137,0.008
30,JP,18-24,0.067,0.030,0.083,0.014
31,JP,25-34,0.098,0.044,0.102,0.041
32,JP,35-44,0.130,0.048,0.142,0.036
33,JP,45-54,0.158,0.047,0.173,0.031
34,JP,55-64,0.133,0.034,0.131,0.036
35,JP,65+,0.167,0.044,0.177,0.034
36,KR,18-24,0.090,0.019,0.093,0.016
37,KR,25-34,0.143,0.024,0.148,0.020
38,KR,35-44,0.156,0.030,0.156,0.030
39,KR,45-54,0.185,0.034,0.196,0.023
40,KR,55-64,0.179,0.020,0.183,0.016
41,KR,65+,0.102,0.017,0.107,0.011
42,MX,18-24,0.167,0.019,0.173,0.012
43,MX,25-34,0.230,0.023,0.229,0.025
44,MX,35-44,0.195,0.025,0.201,0.019
45,MX,45-54,0.151,0.025,0.158,0.019
46,MX,55-64,0.094,0.019,0.100,0.012
47,MX,65+,0.042,0.011,0.043,0.009
48,SE,18-24,0.079,0.023,0.082,0.020
49,SE,25-34,0.133,0.075,0.138,0.070
50,SE,35-44,0.101,0.081,0.126,0.056
51,SE,45-54,0.120,0.072,0.163,0.029
52,SE,55-64,0.119,0.051,0.141,0.029
53,SE,65+,0.111,0.035,0.123,0.023
54,UK,18-24,0.090,0.021,0.102,0.009
55,UK,25-34,0.147,0.044,0.172,0.018
56,UK,35-44,0.138,0.037,0.164,0.011
57,UK,45-54,0.138,0.030,0.154,0.014
58,UK,55-64,0.196,0.051,0.226,0.021
59,UK,65+,0.095,0.013,0.100,0.009
60,US,18-24,0.091,0.017,0.099,0.010
61,US,25-34,0.167,0.047,0.186,0.029
62,US,35-44,0.123,0.044,0.144,0.023
63,US,45-54,0.137,0.040,0.160,0.017
64,US,55-64,0.140,0.063,0.157,0.046
65,US,65+,0.100,0.030,0.113,0.017
